id,name,zipcode,smart_location,country,latitude,longitude
18666,Flat with Sunny Terrace,8026,"Barcelona, Spain",Spain,41.40889,2.18555
31377,"Room for 2,  Sagrada Famili",8025,"Barcelona, Spain",Spain,41.41097,2.1707
31380,"Room for 2-3. Barcelona, Sagrada Famili",8025,"Barcelona, Spain",Spain,41.4109,2.17082
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,8002,"Barcelona, Spain",Spain,41.37859,2.1773
35379,Double 02 CasanovaRooms Barcelona,8036,"Barcelona, Spain",Spain,41.39029,2.15268
36763,In front of the beach,8003,"Barcelona, Spain",Spain,41.37906,2.19141
40983,Classical loft close to pedrera!,8009,"Barcelona, Spain",Spain,41.3956,2.16761
58512,Stylish & cozy 3bed near Sagrada Familia,8026,"Barcelona, Spain",Spain,41.41099,2.18119
61444,Bright apartment - Rambla Catalunya (HUTB-005863),8007,"Barcelona, Spain",Spain,41.38901,2.16552
70099,"Room with a View, Bcn City Center",8001,"Barcelona, Spain",Spain,41.37828,2.1708
70333,Stylish+cozy home/parking/CCIB/WIFI,8019,"Barcelona, Spain",Spain,41.40905,2.21243
71736,APARTMENT BY MONTHS CITY CENTER MINIMUM 32 NIGHTS,8001,"Barcelona, Spain",Spain,41.38321,2.16656
72436,Lugaris Beach Business Apartment,8005,"Barcelona, Spain",Spain,41.39837,2.20623
73683,Sagrada Familia area for 12 people,8025,"Barcelona, Spain",Spain,41.40506,2.17081
73692,Rustic apartment : Rambla Catalunya (HUTB-005863),8007,"Barcelona, Spain",Spain,41.39108,2.16521
75003,130. Hércules Pequeño 41,8013,"Barcelona, Spain",Spain,41.40445,2.17765
75411,Sagrada Familia Clot Patio,8026,"Barcelona, Spain",Spain,41.40825,2.18729
89776,Modernist flat Downtown Casa Estapé | Barcelona,8010,"Barcelona, Spain",Spain,41.39377,2.1795
95560,La Sagrada Familia (and metro) 4 blocks!,8025,"Barcelona, Spain",Spain,41.40585,2.16888
107437,A beautiful  villa in Barcelona,8017,"Barcelona, Spain",Spain,41.42864,2.09159
109462,026. Industria Ático Apartment,8037,"Barcelona, Spain",Spain,41.40264,2.16717
128463,Private Suite in residential area!!,8014,"Barcelona, Spain",Spain,41.37242,2.13637
130227,Spacious Room with Pool and Terrace,8019,"Barcelona, Spain",Spain,41.40646,2.21282
144471,★BEST ZONE★PL.CATALUÑA ★ROOM X 2★BATHROOM +WIFI,8011,"Barcelona, Spain",Spain,41.38226,2.15898
147275,1 Room INDIVIDUAL in Barcelona,8041,"Barcelona, Spain",Spain,41.42318,2.17501
163490,"AMAZING COZY 2Bd, PLAZA CATALUÑA!",8010,"Barcelona, Spain",Spain,41.39106,2.17662
163536,Cosy design apartment trendy  Born 5 bed 2bathroom,8003,"Barcelona, Spain",Spain,41.38673,2.18387
171816,Sagrada Familia Clot Vista,8026,"Barcelona, Spain",Spain,41.40828,2.18622
179619,Affordable Barcelona for you!,8014,"Barcelona, Spain",Spain,41.37151,2.13607
184516,lovely huge 30mq room with pvt bathroom,8002,"Barcelona, Spain",Spain,41.38199,2.17357
186221,La Sagrada Familia: tiny and simple room.,8025,"Barcelona, Spain",Spain,41.40671,2.16717
188267,"MWC 2019 last minutes promo, ask!",8010,"Barcelona, Spain",Spain,41.39368,2.17614
190348,Apartment with large terrace,8034,"Barcelona, Spain",Spain,41.39009,2.12588
195092,Bonitas vistas de Barcelona,8024,"Barcelona, Spain",Spain,41.41026,2.15623
196021,Old-time-charm apartment with patio!,8011,"Barcelona, Spain",Spain,41.38796,2.15946
201958,Lux Apartment,8002,"Barcelona, Spain",Spain,41.38802,2.17301
206122,Amazing Loft in BCN Center (B0132),8009,"Barcelona, Spain",Spain,41.3984,2.15801
209673,Sweet Apartment in Gràcia district!,8006,"Barcelona, Spain",Spain,41.39895,2.15742
209988,NICE APART. IN BARCELONA CITY-20 min to Ramblas,8030,"Barcelona, Spain",Spain,41.44316,2.18791
214970,Cozy room in central flat Barcelona,8004,"Barcelona, Spain",Spain,41.37171,2.16412
216699,SUPER CENTRAL CUTE DOUBLE ROOM+TERRACE!,8003,"Barcelona, Spain",Spain,41.38484,2.17796
234375,ATTIC VIEWS SAGRADA FAMILIA,8013,"Barcelona, Spain",Spain,41.39918,2.1752
237895,Room w/ lots of LIGHT & INCREDIBLE Views!,8013,"Barcelona, Spain",Spain,41.39895,2.183
250016,"Excellent - 3 bedrooms, 2 bathrooms - Gothic",8002,"Barcelona, Spain",Spain,41.38732,2.17367
251424,NICE ROOMS FOR RENT IN BARCELONA,8007,"Barcelona, Spain",Spain,41.38957,2.1625
256628,"Cozy bedroom in a loft, el Raval.",8001,"Barcelona, Spain",Spain,41.37654,2.17385
256677,Barcelona Center!The Gothic Area,8002,"Barcelona, Spain",Spain,41.38065,2.17629
264621,Amore Aragon free WiFi- HUTB 007051,8009,"Barcelona, Spain",Spain,41.397,2.17229
265491,Beach room amazing view in center,8003,"Barcelona, Spain",Spain,41.37707,2.18787
268022,Charming 3 bedrooms apartment,8009,"Barcelona, Spain",Spain,41.39288,2.16987
268417,Cozy Room near the Center. 2 línes underg.Eixample,8015,"Barcelona, Spain",Spain,41.37687,2.14979
272282,Exquisito apartamento con espacios abiertos y luz,8011,"Barcelona, Spain",Spain,41.38237,2.15769
273229,Confortable and very well located,8015,"Barcelona, Spain",Spain,41.37704,2.15782
275350,3BR/2Baths Apt. next to Liceu Theatre on La Rambla,8001,"Barcelona, Spain",Spain,41.3796,2.17352
275889,La Rambla Zen 1BR apt in Center,8001,"Barcelona, Spain",Spain,41.38191,2.1714
279439,sociable apartment in Raval 3,8001,"Barcelona, Spain",Spain,41.37889,2.17314
281978,Big Private Room - Paseo de Gracia,8009,"Barcelona, Spain",Spain,41.39111,2.16677
286105,Room at Gran Via Barcelona Spain,8013,"Barcelona, Spain",Spain,41.40034,2.183
288034,"FEBRUARY IN BARCELONA, QUIET & WITH TERRACE",8036,"Barcelona, Spain",Spain,41.38791,2.15064
302179,Cozy apartment in the city center,8011,"Barcelona, Spain",Spain,41.38519,2.16105
302440,Ramblas Romantic studio,8001,"Barcelona, Spain",Spain,41.38486,2.16841
318865,A penthouse two terraces in Gracia,8012,"Barcelona, Spain",Spain,41.40048,2.158
323854,Casa Sagrada Familia Bcn Doubleroom,8026,"Barcelona, Spain",Spain,41.40658,2.17549
330723,SUNNY ROOM WITH BALCONY,8001,"Barcelona, Spain",Spain,41.37729,2.17225
330766,Urquinaona Charming and Centric,8010,"Barcelona, Spain",Spain,41.39074,2.17306
335861,MODERN LOFT NEXT TO THE BEACH,8005,"Barcelona, Spain",Spain,41.40504,2.20384
337755,SEALONA VILA OLIMPICA BEACH,8005,"Barcelona, Spain",Spain,41.39181,2.19263
343861,1BD FLAT WITH WIFI & AC IN GRACIA,,"Barcelona, Spain",Spain,41.40219,2.16311
343864,3 BD APT IN THE HEART OF GRACIA,,"Barcelona, Spain",Spain,41.40656,2.15732
352772,Elegant Centric Attic WIFI Car Park ,8015,"Barcelona, Spain",Spain,41.38084,2.15047
353640,Great Apartment in Heart of Born,8003,"Barcelona, Spain",Spain,41.38109,2.17855
359841,"BacRou, design loft near the sea",8005,"Barcelona, Spain",Spain,41.40331,2.20929
363601,stylish flat in barcelona center,8001,"Barcelona, Spain",Spain,41.37781,2.17345
370665,vig HAPPY APARTMENT IN EL BORN,8003,"Barcelona, Spain",Spain,41.38458,2.18118
374491,ROOM WITH A BALCONY IN RAMBLAS 1,8002,"Barcelona, Spain",Spain,41.37822,2.17798
